S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
415,2023,3,6,EVEN,Chemical Engineering,CH23612,Chemical Reaction Engineering II,3,0,0,3,3,Theory,,Chemical Engineering
416,2023,3,6,EVEN,Chemical Engineering,CH23613,Process Control,3,0,0,3,3,Theory,,Chemical Engineering
417,2023,3,6,EVEN,Chemical Engineering,CH23614,Process Equipment Design,3,0,0,3,3,Theory,,Chemical Engineering
418,2023,3,6,EVEN,Chemical Engineering,CHPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Chemical Engineering
419,2023,3,6,EVEN,Chemical Engineering,GE23627,Problem Solving Techniques,0,0,2,1,1,Others,,Placement
420,2023,3,6,EVEN,Chemical Engineering,CH23621,Mass Transfer Lab,0,0,4,2,4,Laboratory,Thermal Lab 1,Chemical Engineering
421,2023,3,6,EVEN,Chemical Engineering,CH23622,Innovation and Design thinking for Chemical Engineers,0,0,4,2,4,Laboratory,Project Hour,Chemical Engineering
422,2023,3,6,EVEN,Chemical Engineering,VAP,Value Added Program,,,,,,Others,,Chemical Engineering
424,2023,4,7,ODD,Chemical Engineering,CH23711,Transport Phenomena,3,0,0,3,3,Theory,,Chemical Engineering
425,2023,4,7,ODD,Chemical Engineering,CH23712,Comprehensive Chemical Engineering,3,0,0,3,3,Theory,,Chemical Engineering
426,2023,4,7,ODD,Chemical Engineering,CH23713,Computer Applications in Chemical Engineering,3,0,0,3,3,Theory,,Chemical Engineering
427,2023,4,7,ODD,Chemical Engineering,CH23714,Process Plant Utilities,3,0,0,3,3,Theory,,Chemical Engineering
428,2023,4,7,ODD,Chemical Engineering,CHPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Chemical Engineering
429,2023,4,7,ODD,Chemical Engineering,CHPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Chemical Engineering
430,2023,4,7,ODD,Chemical Engineering,CH23721,Chemical Reaction Engineering lab,0,0,4,2,4,Laboratory,Chemical Reaction Engineering Lab,Chemical Engineering
431,2023,4,7,ODD,Chemical Engineering,CH23722,Process Control Lab,0,0,4,2,4,Laboratory,Process Control Lab,Chemical Engineering
432,2023,4,7,ODD,Chemical Engineering,CH23723,Artificial Intelligence and Machine Learning for Chemical Engineers,0,0,4,2,4,Laboratory,Computer Application in Chemical Engg lab,Chemical Engineering
433,2023,4,8,EVEN,Chemical Engineering,CHPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Chemical Engineering
434,2023,4,8,EVEN,Chemical Engineering,CH23811,Project Work,0,0,24,12,24,Laboratory,Project Hour,Chemical Engineering
435,2023,1,1,ODD,Civil Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Civil Engineering
436,2023,1,1,ODD,Civil Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
437,2023,1,1,ODD,Civil Engineering,MA23112,Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
438,2023,1,1,ODD,Civil Engineering,CE23111,Building Materials,3,0,0,3,3,Theory,,Civil Engineering
439,2023,1,1,ODD,Civil Engineering,CE23112,Engineering Drawing for Civil Engineers,2,0,4,4,6,Theory,,Civil Engineering
440,2023,1,1,ODD,Civil Engineering,PH23131,Physics of Materials,3,0,2,4,5,LOT,Physics Lab,Physics
441,2023,1,1,ODD,Civil Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Civil Engineering
442,2023,1,1,ODD,Civil Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
444,2023,1,2,EVEN,Civil Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Civil Engineering
445,2023,1,2,EVEN,Civil Engineering,MA23212,Differential Equations and Complex Variables,3,1,0,4,4,Theory,,Mathematics
446,2023,1,2,EVEN,Civil Engineering,GE23211,Engineering Mechanics,2,1,0,3,3,Theory,,Civil Engineering
447,2023,1,2,EVEN,Civil Engineering,CY23223,Engineering Chemistry ,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
448,2023,1,2,EVEN,Civil Engineering,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
449,2023,1,2,EVEN,Civil Engineering,GE23231,Programming Using Python,1,0,4,3,5,LOT,Computer Lab,Civil Engineering
450,2023,1,2,EVEN,Civil Engineering,CE23221,Computer Aided Building Drawing for Civil Engineers,0,0,4,2,4,Laboratory,Computer Lab (Arch),Civil Engineering
451,2023,1,2,EVEN,Civil Engineering,HS23221,Technical Communication II,0,0,2,1,2,Laboratory,,English
452,2023,1,2,EVEN,Civil Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
453,2023,1,2,EVEN,Civil Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,Civil Engineering
454,2023,2,3,ODD,Civil Engineering,CE23311,Strength of Materials I,3,0,0,3,3,Theory,,Civil Engineering
455,2023,2,3,ODD,Civil Engineering,CE23312,Fluid Mechanics,3,0,0,3,3,Theory,,Civil Engineering
456,2023,2,3,ODD,Civil Engineering,CE23313,"Construction Techniques, Equipment and Practice",3,0,0,3,3,Theory,,Civil Engineering
457,2023,2,3,ODD,Civil Engineering,CE23331,Surveying,3,0,2,4,5,LOT,Concrete & Survey Lab,Civil Engineering
458,2023,2,3,ODD,Civil Engineering,MA23331,Transforms and Statistics,3,0,2,4,5,LOT,Computer Lab,Mathematics
459,2023,2,3,ODD,Civil Engineering,CE23321,Construction Materials Laboratory,0,0,4,2,4,Laboratory,Computer Lab,Civil Engineering
460,2023,2,3,ODD,Civil Engineering,CS23422,Python Programming for Machine Learning,0,0,4,2,4,Laboratory,Computer Lab,Civil Engineering
462,2023,2,4,EVEN,Civil Engineering,CE23411,Strength of Materials II,3,0,0,3,3,Theory,,Civil Engineering
463,2023,2,4,EVEN,Civil Engineering,CE23412,Hydraulics and Irrigation Structures,3,0,0,3,3,Theory,,Civil Engineering
464,2023,2,4,EVEN,Civil Engineering,CE23413,Water Supply Engineering,3,0,0,3,3,Theory,,Civil Engineering
465,2023,2,4,EVEN,Civil Engineering,CE23414,Highway and Railway Engineering,3,0,0,3,3,Theory,,Civil Engineering
466,2023,2,4,EVEN,Civil Engineering,CE23431,Soil Mechanics,3,0,2,4,5,LOT,Soil Mechanics & Highway Lab,Civil Engineering
467,2023,2,4,EVEN,Civil Engineering,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
468,2023,2,4,EVEN,Civil Engineering,CE23421,Strength of Materials and Hydraulic Engineering Laboratory,0,0,4,2,4,Laboratory,Strength of Materials Lab,Civil Engineering
469,2023,2,4,EVEN,Civil Engineering,GE23327,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
471,2023,3,5,ODD,Civil Engineering,CE23511,Design of Reinforced Concrete Elements,3,1,0,4,4,Theory,,Civil Engineering
472,2023,3,5,ODD,Civil Engineering,CE23512,Foundation Engineering,3,0,0,3,3,Theory,,Civil Engineering
473,2023,3,5,ODD,Civil Engineering,CE23513,Waste Water Engineering,3,0,0,3,3,Theory,,Civil Engineering
474,2023,3,5,ODD,Civil Engineering,CE23531,Structural Analysis,3,0,2,4,5,LOT,Computer Lab (Arch),Civil Engineering
475,2023,3,5,ODD,Civil Engineering,CEPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Civil Engineering
476,2023,3,5,ODD,Civil Engineering,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
477,2023,3,5,ODD,Civil Engineering,CE23521,Water and Waste Water Analysis Laboratory,0,0,4,2,4,Laboratory,Chemistry Lab,Civil Engineering
479,2023,3,5,ODD,Civil Engineering,GE23427,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Civil Engineering
481,2023,3,6,EVEN,Civil Engineering,CE23611,Design of Steel Structures,3,1,0,4,4,Theory,,Civil Engineering
482,2023,3,6,EVEN,Civil Engineering,CE23612,"Construction, Planning,Scheduling and Management",3,0,0,3,3,Theory,,Civil Engineering
483,2023,3,6,EVEN,Civil Engineering,CE23613,Structural Dynamics and Earthquake Engineering,3,0,0,3,3,Theory,,Civil Engineering
484,2023,3,6,EVEN,Civil Engineering,CEPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Civil Engineering
485,2023,3,6,EVEN,Civil Engineering,CE23631,Structural Design and Drawing,3,0,2,4,5,LOT,Computer Lab (Arch),Civil Engineering
486,2023,3,6,EVEN,Civil Engineering,CE23632,Design Thinking for innovation in Civil Engineering,1,0,2,2,3,Laboratory,,Civil Engineering
490,2023,4,7,ODD,Civil Engineering,CE23711,"Estimation, Costing and Valuation Engineering",3,0,0,3,3,Theory,,Civil Engineering
491,2023,4,7,ODD,Civil Engineering,CE23712,Hydrology,3,0,0,3,3,Theory,,Civil Engineering
492,2023,4,7,ODD,Civil Engineering,CEPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Civil Engineering
493,2023,4,7,ODD,Civil Engineering,CEPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Civil Engineering
494,2023,4,7,ODD,Civil Engineering,CE23721,Building Information Modelling,0,0,4,2,4,Laboratory,MCT CAD Lab,Civil Engineering
496,2023,4,7,ODD,Civil Engineering,CE23723,Artificial Intelligence and Machine Learning for Civil Engineers,0,0,4,2,4,Others,,Civil Engineering
497,2023,4,7,ODD,Civil Engineering,CE237X,Seminar/ Others,,,,,,Others,,Civil Engineering
498,2023,4,8,EVEN,Civil Engineering,CEPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Civil Engineering
499,2023,4,8,EVEN,Civil Engineering,CEPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Civil Engineering
500,2023,4,8,EVEN,Civil Engineering,CE23821,Project Work,0,0,12,6,12,Laboratory,Project Hour,Civil Engineering
501,2023,1,1,ODD,Computer Science and Design,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
502,2023,1,1,ODD,Computer Science and Design,MA23113,Mathematics for Design,3,1,0,4,4,Theory,,Mathematics
503,2023,1,1,ODD,Computer Science and Design,CD23111,Design Drawing and Sketching,2,1,0,3,3,Theory,,Computer Science and Design
504,2023,1,1,ODD,Computer Science and Design,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Computer Science and Design
505,2023,1,1,ODD,Computer Science and Design,GE23131,Programming using C,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering
506,2023,1,1,ODD,Computer Science and Design,PH23132,Physics for Information Science,3,0,2,4,5,LOT,Physics Lab,Physics
507,2023,1,1,ODD,Computer Science and Design,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
508,2023,1,1,ODD,Computer Science and Design,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,Computer Science and Design
509,2023,1,2,EVEN,Computer Science and Design,MA23214,Probability and Inferential Statistics,3,1,0,4,4,Theory,,Mathematics
510,2023,1,2,EVEN,Computer Science and Design,CD23211,Foundation in Digital StoryTelling,3,0,0,3,3,Theory,,Computer Science and Design
511,2023,1,2,EVEN,Computer Science and Design,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Computer Science and Design
512,2023,1,2,EVEN,Computer Science and Design,CD23231,Visual Communication Foundations,2,0,4,4,6,LOT,Computer Lab,Computer Science and Design
513,2023,1,2,EVEN,Computer Science and Design,IT23231,Digital Logic and Computer Architecture,3,0,2,4,5,LOT,Digital Lab-1,Electronics and Communication Engineering
514,2023,1,2,EVEN,Computer Science and Design,CS23231,Data Structures,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
515,2023,1,2,EVEN,Computer Science and Design,HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Laboratory,,English
516,2023,1,2,EVEN,Computer Science and Design,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
517,2023,1,2,EVEN,Computer Science and Design,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
518,2023,2,3,ODD,Computer Science and Design,MA23313,Discrete Mathematics for AI,3,1,0,4,4,Theory,,Mathematics
519,2023,2,3,ODD,Computer Science and Design,CD23331,Design Processes and Perspectives,3,0,2,4,5,LOT,Computer Lab,Computer Science and Design
520,2023,2,3,ODD,Computer Science and Design,CS23331,Design and Analysis of Algorithms,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
521,2023,2,3,ODD,Computer Science and Design,CD23332,UI and UX design,2,0,4,4,6,LOT,Computer Lab,Computer Science and Design
522,2023,2,3,ODD,Computer Science and Design,CS23332,Database Management Systems,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
523,2023,2,3,ODD,Computer Science and Design,CD23321,Python Programming for Design,0,0,6,3,6,Laboratory,Computer Lab,Computer Science and Design
524,2023,2,4,EVEN,Computer Science and Design,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
525,2023,2,4,EVEN,Computer Science and Design,MA23433,Mathematical Modelling and Simulation,3,0,2,4,5,LOT,Computer Lab,Mathematics
526,2023,2,4,EVEN,Computer Science and Design,AI23231,Principles of Artificial Intelligence,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
527,2023,2,4,EVEN,Computer Science and Design,CS23432,Software Construction,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
528,2023,2,4,EVEN,Computer Science and Design,CS23532,Computer Networks,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
529,2023,2,4,EVEN,Computer Science and Design,CS23333,Object Oriented Programming Using JAVA,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering
530,2023,2,4,EVEN,Computer Science and Design,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
531,2023,2,4,EVEN,Computer Science and Design,CD23421,Industry Internship (2/4 weeks),0,0,0,1,0,Others,,Computer Science and Design
533,2023,3,5,ODD,Computer Science and Design,CDPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Computer Science and Design
534,2023,3,5,ODD,Computer Science and Design,CD23531,Animation and Graphics,2,0,6,5,8,LOT,Computer Lab,Computer Science and Design
535,2023,3,5,ODD,Computer Science and Design,CS23431,Operating Systems,3,0,4,5,7,LOT,Computer Lab,Computer Science and Design
536,2023,3,5,ODD,Computer Science and Design,CS23531,Web Programming,1,0,4,3,5,LOT,Computer Lab,Computer Science and Design
537,2023,3,5,ODD,Computer Science and Design,CD23532,Design Thinking for Innovation in Product Development,1,0,2,2,3,Laboratory,Project Hour,Computer Science and Design
538,2023,3,5,ODD,Computer Science and Design,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
539,2023,3,6,EVEN,Computer Science and Design,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
540,2023,3,6,EVEN,Computer Science and Design,CDPE2,Professional Elective – II,3,0,2,4,5,Professional Elective,Computer Lab,Computer Science and Design
541,2023,3,6,EVEN,Computer Science and Design,CD23631,Game Design and Development,2,0,4,4,6,LOT,Computer Lab,Computer Science and Design
542,2023,3,6,EVEN,Computer Science and Design,AI23331,Fundamentals of Machine Learning,3,0,2,4,5,LOT,Computer Lab,Computer Science and Design
543,2023,3,6,EVEN,Computer Science and Design,CD23621,"Mobile Application Design and Development
Laboratory ",0,0,4,2,4,Laboratory,Computer Lab,Computer Science and Design
544,2023,3,6,EVEN,Computer Science and Design,CD23622,Animated Educational Content/YouTube videos ,0,0,6,3,6,Laboratory,Computer Lab,Computer Science and Design
546,2023,4,7,ODD,Computer Science and Design,CDPE3,Professional Elective – III,3,0,0,3,4,Professional Elective,,Computer Science and Design
547,2023,4,7,ODD,Computer Science and Design,CDPE4,Professional Elective – IV,3,0,2,4,4,Professional Elective,Computer Lab,Computer Science and Design
548,2023,4,7,ODD,Computer Science and Design,CD23731,Film Making and Radio Podcasting,2,0,2,3,3,LOT,Computer Lab,Computer Science and Design
549,2023,4,7,ODD,Computer Science and Design,CD23721,Visual Effects,0,0,6,3,0,Laboratory,Computer Lab,Computer Science and Design
550,2023,4,7,ODD,Computer Science and Design,CD23722,Capstone Project Phase 1*,0,0,8,4,0,Laboratory,Project Hour,Computer Science and Design
551,2023,4,8,EVEN,Computer Science and Design,CDPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Computer Science and Design
552,2023,4,8,EVEN,Computer Science and Design,CDPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Computer Science and Design
553,2023,4,8,EVEN,Computer Science and Design,CD23821,Capstone Project Phase 2* ,0,0,12,6,0,Laboratory,Project Hour,Computer Science and Design
554,2023,1,1,ODD,Computer Science and Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
555,2023,1,1,ODD,Computer Science and Engineering,MA23111,Linear Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
556,2023,1,1,ODD,Computer Science and Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Computer Science and Design
557,2023,1,1,ODD,Computer Science and Engineering,GE23131,Programming using C,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering
558,2023,1,1,ODD,Computer Science and Engineering,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
559,2023,1,1,ODD,Computer Science and Engineering,PH23132,Physics for Information Science,3,0,2,4,5,LOT,Physics Lab,Physics
560,2023,1,1,ODD,Computer Science and Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
561,2023,1,1,ODD,Computer Science and Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,English
562,2023,1,2,EVEN,Computer Science and Engineering,MA23213,Discrete Mathematical Structures ,3,1,0,4,4,Theory,,Mathematics
563,2023,1,2,EVEN,Computer Science and Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Computer Science and Design
564,2023,1,2,EVEN,Computer Science and Engineering,EC23232,Digital Logic and Microprocessor,3,0,2,4,5,LOT,Microprocessor lab-1,Electronics and Communication Engineering
565,2023,1,2,EVEN,Computer Science and Engineering,GE23111,Engineering Graphics,2,0,4,4,6,Theory,,Mechanical Engineering
566,2023,1,2,EVEN,Computer Science and Engineering,CS23231,Data Structures,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
567,2023,1,2,EVEN,Computer Science and Engineering,HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Laboratory,,English
568,2023,1,2,EVEN,Computer Science and Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
569,2023,1,2,EVEN,Computer Science and Engineering,CS23221,Python Programming Lab,0,0,4,2,4,Laboratory,Computer Lab,Computer Science and Engineering
570,2023,1,2,EVEN,Computer Science and Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
571,2023,2,3,ODD,Computer Science and Engineering,MA23312,Fourier series and Number theory,3,1,0,4,4,Theory,,Mathematics
572,2023,2,3,ODD,Computer Science and Engineering,CS23311,Computer Architecture,3,0,0,3,3,Theory,,Computer Science and Engineering
573,2023,2,3,ODD,Computer Science and Engineering,CS23331,Design and Analysis of Algorithms,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
574,2023,2,3,ODD,Computer Science and Engineering,CS23332,Database Management Systems,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
575,2023,2,3,ODD,Computer Science and Engineering,CS23333,Object Oriented Programming Using JAVA,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering
576,2023,2,3,ODD,Computer Science and Engineering,CS23334,Fundamentals of Data Science,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
577,2023,2,4,EVEN,Computer Science and Engineering,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
578,2023,2,4,EVEN,Computer Science and Engineering,BA23512,Fundamentals of Accounting,3,0,0,3,3,Theory,,Computer Science and Engineering
579,2023,2,4,EVEN,Computer Science and Engineering,MA23435,"Probability, Statistics and Simulation ",3,0,2,4,4,LOT,,Mathematics
580,2023,2,4,EVEN,Computer Science and Engineering,CS23431,Operating Systems,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
581,2023,2,4,EVEN,Computer Science and Engineering,CS23432,Software Construction,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
582,2023,2,4,EVEN,Computer Science and Engineering,CS23433,Design Thinking for Innovation in Computer Science,1,0,2,2,3,LOT,Project Hour,Computer Science and Engineering
583,2023,2,4,EVEN,Computer Science and Engineering,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
585,2023,3,5,ODD,Computer Science and Engineering,CS23511,Theory of Computation,3,1,0,4,4,Theory,,Computer Science and Engineering
586,2023,3,5,ODD,Computer Science and Engineering,CS23512,Fundamentals of Mobile Computing,3,0,0,3,3,Theory,,Computer Science and Engineering
587,2023,3,5,ODD,Computer Science and Engineering,CSPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
588,2023,3,5,ODD,Computer Science and Engineering,CS23531,Web Programming,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering
589,2023,3,5,ODD,Computer Science and Engineering,CS23532,Computer Networks,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
590,2023,3,5,ODD,Computer Science and Engineering,AI23231,Principles of Artificial Intelligence,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
591,2023,3,5,ODD,Computer Science and Engineering,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
592,2023,3,6,EVEN,Computer Science and Engineering,CSPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
593,2023,3,6,EVEN,Computer Science and Engineering,CS23631,Compiler Design,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
594,2023,3,6,EVEN,Computer Science and Engineering,CS23632,Cryptography and Network Security,2,0,2,3,4,LOT,Computer Lab,Computer Science and Engineering
595,2023,3,6,EVEN,Computer Science and Engineering,CS23633,Cloud Computing,2,0,2,3,4,LOT,Computer Lab,Computer Science and Engineering
596,2023,3,6,EVEN,Computer Science and Engineering,AI23331,Fundamentals of Machine Learning,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering
597,2023,3,6,EVEN,Computer Science and Engineering,CS23621,Mobile Application Development Laboratory,0,0,4,2,4,Laboratory,Computer Lab,Computer Science and Engineering
600,2023,4,7,ODD,Computer Science and Engineering,CSPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
601,2023,4,7,ODD,Computer Science and Engineering,CSPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
602,2023,4,7,ODD,Computer Science and Engineering,CSPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
603,2023,4,7,ODD,Computer Science and Engineering,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
604,2023,4,7,ODD,Computer Science and Engineering,CS23721,Project Work (Phase - I),0,0,6,3,6,Laboratory,Project Hour,Computer Science and Engineering
605,2023,4,8,EVEN,Computer Science and Engineering,CSPE7,Professional Elective – VII,3,0,0,3,3,Professional Elective,,Computer Science and Engineering
606,2023,4,8,EVEN,Computer Science and Engineering,CS23821,Project Work (Phase - II),0,0,12,6,12,Laboratory,Project Hour,Computer Science and Engineering
607,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
608,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),MA23111,Linear Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
609,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Computer Science and Engineering (Cyber Security)
610,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),GE23131,Programming using C,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
611,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
612,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),PH23132,Physics for Information Science,3,0,2,4,5,LOT,Physics Lab,Physics
613,2023,1,1,ODD,Computer Science and Engineering (Cyber Security),GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
615,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),MA23213,Discrete Mathematical Structures ,3,1,0,4,4,Theory,,Mathematics
616,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Computer Science and Engineering (Cyber Security)
617,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),EC23232,Digital Logic and Microprocessor,3,0,2,4,5,LOT,Microprocessor lab-1,Electronics and Communication Engineering
618,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),GE23111,Engineering Graphics,2,0,4,4,6,Theory,,Mechanical Engineering
619,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),CS23231,Data Structures,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
620,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Laboratory,,English
621,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
622,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),CS23221,Python Programming Lab,0,0,4,2,4,Laboratory,Computer Lab,Computer Science and Engineering (Cyber Security)
623,2023,1,2,EVEN,Computer Science and Engineering (Cyber Security),MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
624,2023,2,3,ODD,Computer Science and Engineering (Cyber Security),MA23312,Fourier series and Number theory,3,1,0,4,4,Theory,,Mathematics
625,2023,2,3,ODD,Computer Science and Engineering (Cyber Security),CS23332,Database Management Systems,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
626,2023,2,3,ODD,Computer Science and Engineering (Cyber Security),CS23333,Object Oriented Programming Using JAVA,1,0,6,4,7,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
627,2023,2,3,ODD,Computer Science and Engineering (Cyber Security),CS23532,Computer Networks,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
628,2023,2,3,ODD,Computer Science and Engineering (Cyber Security),CR23331,Cryptography,3,0,2,4,5,LOT,Computer Lab,Computer Science and Engineering (Cyber Security)
629,2023,2,4,EVEN,Computer Science and Engineering (Cyber Security),OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
