S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
87,2023,2,3,ODD,Artificial Intelligence and Data Science,MC23112,Environmental Science and Engineering,3,0,0,0,3,LOT,,Chemistry
88,2023,2,4,EVEN,Artificial Intelligence and Data Science,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
89,2023,2,4,EVEN,Artificial Intelligence and Data Science,MA23434,Optimization Techniques for AI,3,0,2,4,5,LOT,Computer Lab,Mathematics
90,2023,2,4,EVEN,Artificial Intelligence and Data Science,AI23431,Web Technology and Mobile Application,1,0,4,3,5,LOT,Computer Lab,Artificial Intelligence and Data Science
91,2023,2,4,EVEN,Artificial Intelligence and Data Science,AD23431,Statistical Analysis and Computing,2,0,2,3,4,LOT,Computer Lab,Artificial Intelligence and Data Science
92,2023,2,4,EVEN,Artificial Intelligence and Data Science,CS23431,Operating Systems,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Data Science
93,2023,2,4,EVEN,Artificial Intelligence and Data Science,CS23432,Software Construction,3,0,2,4,5,Laboratory,Computer Lab,Artificial Intelligence and Data Science
94,2023,2,4,EVEN,Artificial Intelligence and Data Science,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
96,2023,3,5,ODD,Artificial Intelligence and Data Science,ADPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
97,2023,3,5,ODD,Artificial Intelligence and Data Science,ADPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
98,2023,3,5,ODD,Artificial Intelligence and Data Science,BA23512,Fundamentals of Accounting,3,0,0,3,3,Theory,,Artificial Intelligence and Data Science
99,2023,3,5,ODD,Artificial Intelligence and Data Science,AD23531,Architecture for Management of Large Data Sets,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
100,2023,3,5,ODD,Artificial Intelligence and Data Science,AD23532,Framework for Data and Visual Analytics,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
101,2023,3,5,ODD,Artificial Intelligence and Data Science,CS23532,Computer Networks,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Data Science
102,2023,3,5,ODD,Artificial Intelligence and Data Science,AD23521,Data Science Laboratory,0,0,4,2,4,Laboratory,Computer Lab,Artificial Intelligence and Data Science
103,2023,3,5,ODD,Artificial Intelligence and Data Science,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
104,2023,3,6,EVEN,Artificial Intelligence and Data Science,ADPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
105,2023,3,6,EVEN,Artificial Intelligence and Data Science,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
106,2023,3,6,EVEN,Artificial Intelligence and Data Science,AD23631,Data Privacy and Security,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
107,2023,3,6,EVEN,Artificial Intelligence and Data Science,AD23632,Deep Neural Networks,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
108,2023,3,6,EVEN,Artificial Intelligence and Data Science,AD23633,Design Thinking for Innovation in Data Science,1,0,2,2,3,LOT,Project Hour,Artificial Intelligence and Data Science
109,2023,3,6,EVEN,Artificial Intelligence and Data Science,GE23622,Problem Solving Techniques,0,0,2,1,2,Others,,Placement
110,2023,4,7,ODD,Artificial Intelligence and Data Science,ADPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
111,2023,4,7,ODD,Artificial Intelligence and Data Science,AI23712,Reinforcement Learning,3,0,0,3,3,Theory,,Artificial Intelligence and Data Science
112,2023,4,7,ODD,Artificial Intelligence and Data Science,IT23731,Cloud and Big data Architecture,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
113,2023,4,7,ODD,Artificial Intelligence and Data Science,AD23521,Toolkit for Data Science,0,0,2,1,2,Laboratory,Computer Lab,Artificial Intelligence and Data Science
114,2023,4,7,ODD,Artificial Intelligence and Data Science,AD23722,Project Work (Phase - I),0,0,8,4,8,Laboratory,Project Hour,Artificial Intelligence and Data Science
115,2023,4,8,EVEN,Artificial Intelligence and Data Science,ADPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
116,2023,4,8,EVEN,Artificial Intelligence and Data Science,ADPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Data Science
117,2023,4,8,EVEN,Artificial Intelligence and Data Science,AD23821,Project Work (Phase - II),0,0,12,6,12,Laboratory,Project Hour,Artificial Intelligence and Data Science
118,2023,1,1,ODD,Artificial Intelligence and Machine Learning,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
119,2023,1,1,ODD,Artificial Intelligence and Machine Learning,MA23116,Mathematical Foundations for AI,3,1,0,4,4,Theory,,Mathematics
120,2023,1,1,ODD,Artificial Intelligence and Machine Learning,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,English
121,2023,1,1,ODD,Artificial Intelligence and Machine Learning,PH23132,Physics for Information Science,3,0,2,4,5,LOT,Physics Lab,Physics
122,2023,1,1,ODD,Artificial Intelligence and Machine Learning,GE23131,Programming using C,1,0,6,4,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
123,2023,1,1,ODD,Artificial Intelligence and Machine Learning,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
124,2023,1,1,ODD,Artificial Intelligence and Machine Learning,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)",Electrical and Electronics Engineering
125,2023,1,1,ODD,Artificial Intelligence and Machine Learning,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,Mechanical Engineering
127,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,MA23214,Probability and Inferential Statistics,3,1,0,4,4,Theory,,Mathematics
128,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,GE23111,Engineering Graphics,2,2,0,4,6,Theory,,Mechanical Engineering
129,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Artificial Intelligence and Machine Learning
130,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,IT23231,Digital Logic and Computer Architecture,3,0,2,4,5,LOT,Digital Lab-1,Electronics and Communication Engineering
131,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,AI23231,Principles of Artificial Intelligence,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
132,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,CS23231,Data Structures,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
133,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,HS23222/HS23223,Technical Communication II / English for Professional Competence,0,0,2,1,2,Theory,,English
134,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
135,2023,1,2,EVEN,Artificial Intelligence and Machine Learning,CS23221,Python Programming Lab,0,0,4,2,4,Laboratory,Computer Lab,Artificial Intelligence and Machine Learning
136,2023,2,3,ODD,Artificial Intelligence and Machine Learning,MA23313,Discrete Mathematics for AI,3,1,0,4,4,Theory,,Mathematics
137,2023,2,3,ODD,Artificial Intelligence and Machine Learning,BA23512,Fundamentals of Accounting,3,0,0,3,3,Theory,,MBA
138,2023,2,3,ODD,Artificial Intelligence and Machine Learning,AI23331,Fundamentals of Machine Learning,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
139,2023,2,3,ODD,Artificial Intelligence and Machine Learning,CS23331,Design and Analysis of Algorithms,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
140,2023,2,3,ODD,Artificial Intelligence and Machine Learning,CS23332,Database Management Systems,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
141,2023,2,3,ODD,Artificial Intelligence and Machine Learning,CS23333,Object Oriented Programming Using JAVA,1,0,6,4,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
142,2023,2,3,ODD,Artificial Intelligence and Machine Learning,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
143,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
144,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,MA23434,Optimization Techniques for AI,3,0,2,4,5,LOT,Computer Lab,Mathematics
145,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,AI23431,Web Technology and Mobile Application,1,0,4,3,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
146,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,CS23431,Operating Systems,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
147,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,CS23432,Software Construction,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
148,2023,2,4,EVEN,Artificial Intelligence and Machine Learning,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
150,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AIPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Machine Learning
151,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AIPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Machine Learning
152,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AI23531,Deep Learning,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
153,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AD23532,Framework for Data and Visual Analytics,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
154,2023,3,5,ODD,Artificial Intelligence and Machine Learning,CS23532,Computer Networks,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Machine Learning
155,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AI23521,Build and Deploy Machine Learning Applications,0,0,2,1,2,Laboratory,Computer Lab,Artificial Intelligence and Machine Learning
156,2023,3,5,ODD,Artificial Intelligence and Machine Learning,AD23521,Data Science Laboratory,0,0,4,2,4,Laboratory,Computer Lab,Artificial Intelligence and Machine Learning
157,2023,3,5,ODD,Artificial Intelligence and Machine Learning,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
159,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,AIPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,Computer Lab,Artificial Intelligence and Machine Learning
160,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
161,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,AI23611,Secure Systems Engineering,3,0,0,3,3,Theory,,Artificial Intelligence and Machine Learning
